Location,Date,Matchday,Team1,GoalsTeam1,GoalsTeam2,Team2
Unbekannt,2004-08-06T19:35:00Z,1,Werder Bremen,1,0,FC Schalke 04
Unbekannt,2004-08-07T13:30:00Z,1,BV Borussia Dortmund 09,1,2,VfL Wolfsburg
Unbekannt,2004-08-07T13:30:00Z,1,1. FC Kaiserslautern,1,3,1. FC Nürnberg
Unbekannt,2004-08-07T13:30:00Z,1,Bayer Leverkusen,2,1,Hannover 96
Unbekannt,2004-08-07T13:30:00Z,1,SC Freiburg,0,0,FC Hansa Rostock
Unbekannt,2004-08-07T13:30:00Z,1,Hertha BSC,2,2,VfL Bochum
Unbekannt,2004-08-07T13:30:00Z,1,Hamburger SV,0,2,FC Bayern München
Unbekannt,2004-08-08T15:30:00Z,1,Arminia Bielefeld,0,0,Borussia Mönchengladbach
Unbekannt,2004-08-08T15:30:00Z,1,VfB Stuttgart,4,2,1. FSV Mainz 05
Unbekannt,2004-08-14T13:30:00Z,2,FC Bayern München,1,1,Hertha BSC
Unbekannt,2004-08-14T13:30:00Z,2,1. FSV Mainz 05,2,1,Hamburger SV
Unbekannt,2004-08-14T13:30:00Z,2,Borussia Mönchengladbach,2,3,BV Borussia Dortmund 09
Unbekannt,2004-08-14T13:30:00Z,2,1. FC Nürnberg,1,1,VfB Stuttgart
Unbekannt,2004-08-14T13:30:00Z,2,FC Hansa Rostock,0,4,Werder Bremen
Unbekannt,2004-08-14T13:30:00Z,2,FC Schalke 04,2,1,1. FC Kaiserslautern
Unbekannt,2004-08-15T15:30:00Z,2,VfL Bochum,2,2,Bayer Leverkusen
Unbekannt,2004-08-15T15:30:00Z,2,VfL Wolfsburg,0,1,SC Freiburg
Unbekannt,2004-09-28T16:00:00Z,2,Hannover 96,0,1,Arminia Bielefeld
Unbekannt,2004-08-28T13:30:00Z,3,SC Freiburg,1,1,Borussia Mönchengladbach
Unbekannt,2004-08-28T13:30:00Z,3,1. FC Kaiserslautern,2,3,VfB Stuttgart
Unbekannt,2004-08-28T13:30:00Z,3,Arminia Bielefeld,1,2,VfL Bochum
Unbekannt,2004-08-28T13:30:00Z,3,Bayer Leverkusen,4,1,FC Bayern München
Unbekannt,2004-08-28T13:30:00Z,3,Hertha BSC,1,1,1. FSV Mainz 05
Unbekannt,2004-08-28T13:30:00Z,3,Hamburger SV,4,3,1. FC Nürnberg
Unbekannt,2004-08-28T13:30:00Z,3,FC Schalke 04,0,2,FC Hansa Rostock
Unbekannt,2004-08-29T15:30:00Z,3,BV Borussia Dortmund 09,1,1,Hannover 96
Unbekannt,2004-08-29T15:30:00Z,3,Werder Bremen,1,2,VfL Wolfsburg
Unbekannt,2004-09-11T13:30:00Z,4,1. FSV Mainz 05,2,0,Bayer Leverkusen
Unbekannt,2004-09-11T13:30:00Z,4,FC Bayern München,1,0,Arminia Bielefeld
Unbekannt,2004-09-11T13:30:00Z,4,VfL Bochum,2,2,BV Borussia Dortmund 09
Unbekannt,2004-09-11T13:30:00Z,4,Borussia Mönchengladbach,3,1,Werder Bremen
Unbekannt,2004-09-11T13:30:00Z,4,VfL Wolfsburg,3,0,FC Schalke 04
Unbekannt,2004-09-11T13:30:00Z,4,VfB Stuttgart,2,0,Hamburger SV
Unbekannt,2004-09-11T13:30:00Z,4,1. FC Nürnberg,0,0,Hertha BSC
Unbekannt,2004-09-12T15:30:00Z,4,Hannover 96,2,2,SC Freiburg
Unbekannt,2004-09-12T15:30:00Z,4,FC Hansa Rostock,2,3,1. FC Kaiserslautern
Unbekannt,2004-09-18T13:30:00Z,5,1. FC Kaiserslautern,2,1,Hamburger SV
Unbekannt,2004-09-18T13:30:00Z,5,BV Borussia Dortmund 09,2,2,FC Bayern München
Unbekannt,2004-09-18T13:30:00Z,5,Arminia Bielefeld,1,1,1. FSV Mainz 05
Unbekannt,2004-09-18T13:30:00Z,5,Bayer Leverkusen,2,2,1. FC Nürnberg
Unbekannt,2004-09-18T13:30:00Z,5,FC Hansa Rostock,1,2,VfL Wolfsburg
Unbekannt,2004-09-18T13:30:00Z,5,FC Schalke 04,3,2,Borussia Mönchengladbach
Unbekannt,2004-09-18T13:30:00Z,5,Werder Bremen,3,0,Hannover 96
Unbekannt,2004-09-19T15:30:00Z,5,SC Freiburg,1,1,VfL Bochum
Unbekannt,2004-09-19T15:30:00Z,5,Hertha BSC,0,0,VfB Stuttgart
Unbekannt,2004-09-25T13:30:00Z,6,FC Bayern München,3,1,SC Freiburg
Unbekannt,2004-09-25T13:30:00Z,6,VfL Bochum,1,4,Werder Bremen
Unbekannt,2004-09-25T13:30:00Z,6,Hannover 96,1,0,FC Schalke 04
